id,title,original_title,release_date,original_language,overview,tagline,status,runtime,budget,revenue,popularity,vote_average,vote_count,adult,imdb_id,homepage,genres,production_companies,production_countries,spoken_languages
1049471,Outcome,Outcome,2026-04-06,en,"Reef Hawk, Hollywood's poster child since age six, is not okay. When he learns about an extortion plot tied to a mysterious video, Reef preemptively sets out on a redemption tour to make amends, confront his demons, and avoid getting canceled.",,Released,84,0,0,130.2508,5.313,88,False,tt23724682,https://tv.apple.com/movie/umc.cmc.3uvjztuy2y8ve2rj6nvgyop89,"Comedy, Drama","Apple Studios, Strong Baby Productions",US,English
1198994,Send Help,Send Help,2026-01-22,en,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",Meet Linda Liddle... She's from strategy and planning. She's the boss now.,Released,113,40000000,94041481,65.2084,7.023,984,False,tt8036976,https://www.20thcenturystudios.com/movies/send-help,"Horror, Thriller, Comedy","Raimi Productions, 20th Century Studios, TSG Entertainment",US,English
467905,How to Make a Killing,How to Make a Killing,2026-02-19,en,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",$28 billion inheritance. 7 relatives standing in the way.,Released,105,40000000,18311698,29.6217,7.0,258,False,tt4357198,https://www.studiocanal.co.uk/title/how-to-make-a-killing-2025,"Comedy, Thriller","StudioCanal, StudioCanal UK, Blue Ice Africa, Blueprint Pictures","GB, FR, ZA","English, French"
1297446,Slanted,Slanted,2026-03-13,en,"An insecure Chinese-American teenager undergoes experimental surgery to appear white, hoping to secure the prom queen title and peer acceptance.",If you can't beat them... be them.,Released,102,0,871281,11.8055,6.647,17,False,tt32490110,https://bleeckerstreetmedia.com/slanted,"Comedy, Horror, Science Fiction","Tideline Entertainment, Mountain Top Pictures",US,"English, Mandarin"
1159559,Scream 7,Scream 7,2026-02-25,en,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",Burn it all down.,Released,114,45000000,211982103,129.9811,6.029,750,False,tt27047903,http://www.screammovie.com,"Horror, Mystery, Crime","Paramount Pictures, Spyglass Media Group, Project X Entertainment",US,English
1368166,The Housemaid,The Housemaid,2025-12-18,en,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",Discover what lies behind closed doors.,Released,131,35000000,399346566,88.5063,7.201,1829,False,tt27543632,https://thehousemaid.movie,"Mystery, Thriller","Lionsgate, Media Capital Technologies, Hidden Pictures, Pretty Dangerous Pictures",US,English
1084242,Zootopia 2,Zootopia 2,2025-11-26,en,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",They're back with a twissst.,Released,108,150000000,1868208796,103.4823,7.6,2558,False,tt26443597,https://movies.disney.com/zootopia-2,"Animation, Family, Mystery, Adventure, Comedy","Walt Disney Animation Studios, Walt Disney Animation Studios","US, CA",English
1276521,Charlie the Wonderdog,Charlie the Wonderdog,2025-10-24,en,"Timid 9-year-old Danny teams up with his beloved family dog Charlie, who gets abducted by aliens and returns with superpowers, to thwart a plan by the neighbor's sinister cat Puddy to destroy humanity.",He's a good boy… most of the time.,Released,92,0,7302559,4.3232,6.3,10,False,tt29612071,https://www.iconcreativestudio.com/,"Animation, Action, Adventure, Comedy, Family","ICON Creative Studio, Centurion Pictures, Global Constellation",CA,English
1400336,Focker-In-Law,Focker-In-Law,2026-11-25,en,"Henry, son of Greg and Pam Focker, faces family chaos when he decides to marry a strong-willed woman who appears to be his complete mismatch.",The circle of trust just got bigger.,Post Production,0,0,0,15.554,0.0,0,False,tt34966140,https://www.universalpictures.com/movies/focker-in-law/,"Comedy, Romance","Universal Pictures, Tribeca Productions, Red Hour, Delirious Media, Particular Pictures, Paramount Pictures",US,English
931285,Mortal Kombat II,Mortal Kombat II,2026-05-06,en,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",Finish the fight.,Post Production,116,68000000,0,17.2205,0.0,0,False,tt17490712,https://www.mortalkombatmovie.com,"Action, Fantasy, Adventure","New Line Cinema, Atomic Monster, Broken Road Productions, Fireside Films",US,English
